taxon_key	taxon_name	common_name	cla_code	ord_code	fam_code	gen_code	spe_code	effective_distance	habitat_diversity_index	estuaries	coral	front	sea_grass	sea_mount	others	slope	shelf	abyssal	inshore	offshore	max_depth	min_depth	true_max_depth	water_column_position	intertidal	lat_north	lat_south	found_in_fao_area_id	fao_limits	sl_max	temperature	general_comments
614392	Argyrosomus heinii	Arabian sea meagre	6	60	331	4240	14392	0.999999997	0.2	0	0	0	0	0	0.25	0	1	0	0	0				benthopelagic				{51}	1	53.45259201		"Amy's comments: Limited to the Sea of Oman and the Arabian Sea (Al Jufaili, S., Machkevskyi, V., Al Sulaimi, S., Faraj, R. B., & Al Mazrooei, N. (2014). Biological and Ecological Features of Poecilancistrum Sp. Plerocercoid (Cestoda: Trypanorhyncha) Infection of Arabian Sea Meager Argyrosomus heinii (Steindachner, 1907). Journal of Aquaculture Research & Development, 5(3), 1.) ...so shelf.. NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments:"
659655	Gobionotothen angustifrons	Narrowhead rockcod	6	60	382	8523	59655	0.999999997	0.2	0	0	0	0	0	0.5	0	0	0	0	0	110	0		demersal				"{48,48}"	2	20.5		"Amy's comments: littoral (inshore, shelf, other) (Balushkin, A. V. (2014). Taxonomic status of goby-like notothens of the genus Gobionotothen Balushkin (Nototheniidae) from the Kerguelen Plateau (Southern Ocean) and Jordanâ€™s Rule. Journal of Ichthyology, 54(9), 615-619.). NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments:"
654617	Myliobatis peruvianus	Peruvian eagle ray	4	65	22	9817	54617	0.999999997	0.2	0	0	0	0	0	0.5	0	0.5	0	0.5	0.5				benthopelagic	f			"{87,87}"	2	131		"Amy's comments: Littoral (Taylor, M. H., Wolff, M., Mendo, J., & Yamashiro, C. (2008). Changes in trophic flow structure of Independence Bay (Peru) over an ENSO cycle. Progress in Oceanography, 79(2), 336-351.). NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments: Ovoviviparous (Ref. 50449)."
626365	Stromateus stellatus	Starry butterfish	6	60	425	5813	26365	0.999999997	0.2	0	0	0	0	0	0.25	0	0.5	0	0.5	0				benthopelagic		-12	-47	{87}	1	25.14		"Amy's comments: Lives on continental shelf, collected from the coastal zone. Article in spanish- probably more information on distribution available in there. (Iannacone, J., CÃ¡rdenas-Callirgos, J., & AlvariÃ±o, L. (2010). EcologÃ­a comunitaria de los parÃ¡sitos de la chilindrina Stromateus stellatus (Cuvier, 1829)(Perciformes: Stromateidae) de la zona costera de Chorrillos, Lima, PerÃº. Neotrop. Helminthol, 4(2), 159-167.) Another potentially useful report also in spanish (http://biblioimarpe.imarpe.gob.pe:8080/handle/123456789/1433).. NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments:"
608427	Gaidropsarus guttatus		6	44	505	8034	8427	0.999999997	0.2	0	0	0	0	0	0.5	0	0.5	0	0.5	0	10	5		demersal	t	40	27	"{27,34}"	2	26		FB or SLB Comments: Found in intertidal pools and sublittoral areas. Feed on decapod crustaceans and algae (Ref. 3663).
647068	Krobia guianensis	Krobia	6	60	349	9008	47068	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0	0	0.5	0	9999	0		benthopelagic	f	6	0	"{3,31}"		13		"Amy's comments: Made max depth 20 (was 9999) but is not pelagic, inhabits rivers so this is just an arbitrary cut off. NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments."
607533	Eugerres brasilianus	Brazilian mojarra	6	60	326	352	7533	29.2692307	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0.5				demersal	f			"{31,41}"	2	46.25		"Amy's comments: Mangrove (Chaves, P. D. T. C., & Otto, G. (1999). The mangrove as a temporary habitat for fish: the Eucinostomus Species at Guaratuba Bay, Brazil (25Âº 52'S; 48Âº 39'W). Brazilian Archives of Biology and Technology, 42(1), 0-0.) . NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments: Occurs in shallow water, over soft bottoms."
604448	Pentaprion longimanus	Longfin mojarra	6	60	326	4801	4448	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0	0.5	220	15		demersal	f		-24	"{51,57,61,71}"	4	11.49		"Amy's comments: Mangrove areas (Shahraki, M., Fry, B., Krumme, U., & Rixen, T. (2014). Microphytobenthos sustain fish food webs in intertidal arid habitats: A comparison between mangrove-lined and un-vegetated creeks in the Persian Gulf. Estuarine, Coastal and Shelf Science, 149, 203-212.). NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments: Inhabits coastal waters. Forms large schools. Probably feeds on small benthic animals. Used for fish meal and duck food."
613992	Genidens barbus	White sea catfish	6	32	145	6794	13992	0.999999997	0.2	0	0	0	0	0	0.25	0	0.5	0	0.75	0				demersal				"{3,41}"	2	98.07286814		"Amy's comments: Most common sea catfish in southern Brazilian estuaries (Mendoza-Carranza, M., & Vieira, J. P. (2009). Ontogenetic niche feeding partitioning in juvenile of white sea catfish Genidens barbus in estuarine environments, southern Brazil. Journal of the Marine Biological Association of the United Kingdom, 89(04), 839-848.). Found on the shelf (Avigliano, E., Velasco, G., & Volpedo, A. V. (2015). Assessing the use of two southwestern Atlantic estuaries by different life cycle stages of the anadromous catfish Genidens barbus (LacÃ©pÃ¨de, 1803) as revealed by Sr: Ca and Ba: Ca ratios in otoliths. Journal of Applied Ichthyology.). NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments. FB or SLB Comments: Males carry the eggs in their mouth (Ref. 205)."
690094	Crassostrea corteziensis	Cortez oyster	901062	910253	901824	903275	948099	30.39999991	0.4	0.75	0	0	0	0	0.5	0	0.5	0	0.75	0	300	0		benthic	f	90	-90	{27}	1	10		"Amy's comments: mostly mangrove estuarine. NOTE: Find Species name in Literature folder, for access to the reference used to draw each of these comments."
603582	Cynoscion xanthulus	Orangemouth weakfish	6	60	331	5172	3582	0.999999997	0.2	0	0	0	0	0	0.5	0	0.5	0	0.5	0.5				benthopelagic	f	33	14	{77}	1	112.521927		FB or SLB Comments: Inhabits coastal waters (Ref. 9118).
